flow_id,src_ip,src_port,dest_ip,dest_port,timestamp,category,signature,severity,proto
858273460142504,10.47.2.100,42944,208.80.154.15,80,2018-03-23T13:59:50.695990-0600,Not Suspicious Traffic,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,3,TCP
1926367854224196,10.47.1.101,56392,85.236.43.108,80,2018-03-23T15:54:48.802554-0600,Potential Corporate Privacy Violation,ET POLICY GNU/Linux YUM User-Agent Outbound likely related to package management,1,TCP
35371522502222,10.47.8.10,58680,10.0.0.100,53,2018-03-24T12:03:52.568910-0600,Potentially Bad Traffic,ET DNS Query for .su TLD (Soviet Union) Often Malware Related,2,UDP
1496051981707555,10.47.41.68,49505,64.135.77.30,80,2018-03-24T15:11:12.011055-0600,Potential Corporate Privacy Violation,ET POLICY Outdated Flash Version M1,1,TCP
1715339180718866,10.47.5.156,10591,10.10.5.1,53,2018-03-24T11:10:33.801554-0600,Potential Corporate Privacy Violation,ET POLICY DNS Query for TOR Hidden Domain .onion Accessible Via TOR,1,UDP
1682110181185629,10.128.0.212,34836,10.47.3.150,161,2018-03-23T12:47:46.956509-0600,Potential Corporate Privacy Violation,ET SNMP Attempt to retrieve Cisco Config via TFTP (CISCO-CONFIG-COPY),1,UDP
1455971697973857,10.128.0.241,59058,10.47.45.10,80,2018-03-24T16:40:28.100560-0600,Web Application Attack,ET WEB_SERVER ColdFusion adminapi access,1,TCP
953465046940823,10.128.0.221,52002,10.47.1.59,8080,2018-03-23T14:19:57.712997-0600,Web Application Attack,ET WEB_SERVER ColdFusion administrator access,1,TCP
1305978245678244,10.47.23.25,56834,193.0.14.129,53,2018-03-23T21:09:31.918692-0600,Potentially Bad Traffic,ET DNS Query to a *.pw domain - Likely Hostile,2,UDP
674721441801649,10.128.0.241,59074,10.47.45.10,80,2018-03-24T16:40:28.140608-0600,Web Application Attack,ET WEB_SERVER  ColdFusion path disclosure to get the absolute path,1,TCP
541546852735724,10.47.45.200,49698,66.211.185.82,80,2018-03-24T14:23:38.109007-0600,Potential Corporate Privacy Violation,ET POLICY Unsupported/Fake Windows NT Version 5.0,1,TCP
2137643308625977,10.47.4.153,31337,10.128.0.214,58478,2018-03-23T14:07:17.116827-0600,Successful User Privilege Gain,ET ATTACK_RESPONSE Net User Command Response,1,TCP
252176927459372,10.47.6.59,40575,104.225.222.243,8080,2018-03-23T16:48:14.914001-0600,A Network Trojan was detected,ET TROJAN Generic - POST To .php w/Extended ASCII Characters,1,TCP
1244761081837218,10.184.180.10,11355,10.47.6.142,80,2018-03-23T16:56:34.333940-0600,Detection of a Network Scan,ET SCAN NETWORK Outgoing Masscan detected,3,TCP
1244761081837218,10.184.180.10,11355,10.47.6.142,80,2018-03-23T16:56:34.333940-0600,Detection of a Network Scan,ET SCAN NETWORK Incoming Masscan detected,3,TCP
1569003014264416,10.240.105.57,44937,10.47.3.100,123,2018-03-23T16:10:25.202380-0600,Attempted Denial of Service,ET DOS Possible NTP DDoS Inbound Frequent Un-Authed MON_LIST Requests IMPL 0x03,2,UDP
1798438839213984,10.128.0.241,46384,10.47.2.156,80,2018-03-24T13:51:05.212057-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Netgear passwordrecovered.cgi attempt,1,TCP
854100378956487,206.251.244.225,80,10.47.23.82,50317,2018-03-23T20:53:36.864504-0600,Attempted User Privilege Gain,ET WEB_CLIENT Possible BeEF Module in use,1,TCP
152195947879736,10.128.0.221,50838,10.47.1.59,8080,2018-03-23T14:19:52.786594-0600,A Network Trojan was detected,ET WORM TheMoon.linksys.router 1,1,TCP
1393770069449632,10.128.0.221,46962,10.47.1.1,443,2018-03-23T14:21:55.041780-0600,Potentially Bad Traffic,ET CURRENT_EVENTS Malformed HeartBeat Request,2,TCP
1789603310391319,10.47.3.142,443,10.240.105.57,38399,2018-03-23T16:20:10.329561-0600,Potentially Bad Traffic,ET CURRENT_EVENTS Malformed HeartBeat Response,2,TCP
1789603310391319,10.47.3.142,443,10.240.105.57,38399,2018-03-23T16:20:10.329561-0600,Potentially Bad Traffic,ET CURRENT_EVENTS Possible OpenSSL HeartBleed Large HeartBeat Response (Client Init Vuln Server),2,TCP
1393770069449632,10.128.0.221,46962,10.47.1.1,443,2018-03-23T14:21:55.041780-0600,Potentially Bad Traffic,ET CURRENT_EVENTS Possible TLS HeartBleed Unencrypted Request Method 3 (Inbound to Common SSL Port),2,TCP
257167400954671,10.47.8.152,31337,10.128.0.241,59348,2018-03-23T15:37:24.270687-0600,Successful Administrator Privilege Gain,ET ATTACK_RESPONSE Possible  MS CMD Shell opened on local system 2,1,TCP
39800470692058,134.119.3.164,9001,10.47.44.68,50049,2018-03-24T15:36:43.576629-0600,Misc activity,ET POLICY TLS possible TOR SSL traffic,3,TCP
1579894582828890,13.107.4.50,80,10.47.1.10,49761,2018-03-23T14:11:43.138063-0600,Potential Corporate Privacy Violation,ET POLICY PE EXE or DLL Windows file download HTTP,1,TCP
322100700149756,10.128.18.12,63470,10.47.6.10,123,2018-03-24T18:14:08.817152-0600,Attempted Denial of Service,ET DOS Possible NTP DDoS Inbound Frequent Un-Authed GET_RESTRICT Requests IMPL 0x03,2,UDP
511740700552445,10.128.0.205,54819,10.47.22.186,1900,2018-03-24T18:17:48.093439-0600,Attempted Denial of Service,ET DOS Possible SSDP Amplification Scan in Progress,2,UDP
1305907848468700,10.128.0.241,43151,10.47.3.1,80,2018-03-23T14:02:50.783248-0600,Attempted Administrator Privilege Gain,ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers,1,TCP
1808094910264351,10.128.0.221,35464,10.10.2.2,80,2018-03-23T14:43:04.249402-0600,Attempted Administrator Privilege Gain,ET WEB_SERVER Possible CVE-2014-6271 Attempt in HTTP Cookie,1,TCP
1937162738336279,68.142.107.25,80,10.47.22.55,39851,2018-03-23T22:49:41.445736-0600,Potential Corporate Privacy Violation,ET POLICY Executable and linking format (ELF) file download Over HTTP,1,TCP
1747560270136201,10.128.0.207,33381,10.47.27.80,21,2018-03-23T18:00:32.166977-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Possible Pure-FTPd CVE-2014-6271 attempt,1,TCP
176833958417469,10.47.8.208,443,10.128.0.215,49579,2018-03-23T14:02:20.239429-0600,Potential Corporate Privacy Violation,ET POLICY SSLv3 inbound connection to server vulnerable to POODLE attack,1,TCP
2196338160457735,10.128.0.241,59054,10.47.45.10,80,2018-03-24T16:40:28.145657-0600,Web Application Attack,ET EXPLOIT Possible CVE-2014-3704 Drupal SQLi attempt URLENCODE 1,1,TCP
801717467016616,10.128.0.241,38189,10.47.1.20,80,2018-03-23T14:34:54.841595-0600,Web Application Attack,ET EXPLOIT Possible CVE-2014-3704 Drupal SQLi attempt URLENCODE 2,1,TCP
107708799454657,23.23.170.235,443,10.47.6.100,56269,2018-03-23T14:51:07.747306-0600,Potential Corporate Privacy Violation,ET POLICY Possible IP Check api.ipify.org,1,TCP
276941704824022,10.128.0.201,39244,10.47.8.10,88,2018-03-23T16:47:12.040140-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Possible GoldenPac Priv Esc in-use,1,TCP
446270726211206,10.47.24.55,143,10.240.105.57,33189,2018-03-23T16:30:52.727307-0600,Potentially Bad Traffic,ET EXPLOIT FREAK Weak Export Suite From Server (CVE-2015-0204),2,TCP
181045309869467,10.47.8.150,57865,216.239.36.21,80,2018-03-23T14:36:50.622100-0600,Potential Corporate Privacy Violation,ET POLICY Possible External IP Lookup ipinfo.io,1,TCP
569943726371674,10.128.0.241,34131,10.47.3.1,80,2018-03-23T14:02:34.679629-0600,Attempted Administrator Privilege Gain,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution,1,TCP
